U,V,Y,Unnamed: 4,Time
0.181218985,82.46831686,0.619162371,-1.51E-06,01/01/2023 00:00
0.228320055,49.32848299,1.592565596,2.33E-08,01/01/2023 01:00
0.084611238,44.14160243,2.934738335,-3.38E-06,01/01/2023 02:00
0.031822743,42.9264994,9.443976041,2.59E-06,01/01/2023 03:00
0.136275146,33.31799427,1.302594135,3.06E-06,01/01/2023 04:00
0.050235221,31.97728355,4.359977195,2.52E-06,01/01/2023 05:00
0.032600509,30.41292389,7.969430235,9.74E-05,01/01/2023 06:00
0.353771631,33.79914386,1.349943085,9.94E-05,01/01/2023 07:00
0.27768032,24.88161719,0.669398122,9.39E-05,01/01/2023 08:00
0.134459455,22.04594763,3.123442301,9.89E-05,01/01/2023 09:00
0.299232178,18.6365021,1.978650757,0.000100056,01/01/2023 10:00
0.067947351,17.87067642,5.276574529,0.0001016,01/01/2023 11:00
0.015444589,18.50326837,22.57106488,9.63E-05,01/01/2023 12:00
0.007716777,6.12524149,47.1242679,0.000304679,01/01/2023 13:00
0.023838068,7.052619252,15.81764788,0.000298069,01/01/2023 14:00
0.055883003,6.630760731,6.240783175,0.000302692,01/01/2023 15:00
0.099672995,6.255312275,3.319525138,0.000301502,01/01/2023 16:00
0.104200304,6.93980381,3.407299497,0.000296184,01/01/2023 17:00
0.089909919,6.431346106,3.693306755,0.000298047,01/01/2023 18:00
0.002065447,6.218898598,126.9210062,0.000300887,01/01/2023 19:00
0.127334683,5.224631551,2.454745442,0.000297063,01/01/2023 20:00
0.117673057,6.369964299,2.671692783,0.000301031,01/01/2023 21:00
0.005878791,6.300370323,55.21387636,0.000299311,01/01/2023 22:00
0.14834095,5.389029667,2.30015012,0.00029443,01/01/2023 23:00
0.082814469,6.31301838,4.129238673,0.000302105,02/01/2023 00:00
0.035204801,6.122552047,9.898486245,0.000295504,02/01/2023 01:00
0.021955432,6.568555814,14.77094392,0.000301288,02/01/2023 02:00
0.087157757,9.473432488,3.022113478,0.000200847,02/01/2023 03:00
0.296315438,7.969149497,1.685477543,0.000190975,02/01/2023 04:00
0.142175424,8.727600539,1.776659067,0.000199747,02/01/2023 05:00
0.032879521,8.544385919,11.73027615,0.000303854,02/01/2023 06:00
